country,hotel,total_bookings,average_adr
ABW,City Hotel,2,128.34
AGO,City Hotel,338,115.00437869822485
AGO,Resort Hotel,24,146.95916666666668
AIA,City Hotel,1,265
ALB,City Hotel,9,84.1211111111111
ALB,Resort Hotel,3,85.05
AND,City Hotel,2,95
AND,Resort Hotel,5,245.714
ARE,City Hotel,40,124.442
ARE,Resort Hotel,11,176.01181818181817
ARG,City Hotel,157,116.28433121019108
ARG,Resort Hotel,57,121.83052631578947
ARM,City Hotel,6,115.86666666666666
ARM,Resort Hotel,2,52.349999999999994
ASM,City Hotel,1,72.07
ATA,City Hotel,2,134.25
ATF,City Hotel,1,126
AUS,City Hotel,339,115.61356932153393
AUS,Resort Hotel,87,121.30183908045977
AUT,City Hotel,1053,110.43846153846154
AUT,Resort Hotel,210,85.18519047619047
AZE,City Hotel,14,102.975
AZE,Resort Hotel,3,167.46666666666667
BDI,Resort Hotel,1,46
BEL,City Hotel,1894,118.57253959873285
BEL,Resort Hotel,448,93.87303571428572
BEN,City Hotel,3,123.2
BFA,City Hotel,1,80.3
BGD,City Hotel,12,149.8025
BGR,City Hotel,70,113.83571428571429
BGR,Resort Hotel,5,84.7
BHR,City Hotel,4,134.1625
BHR,Resort Hotel,1,190
BHS,Resort Hotel,1,50.85
BIH,City Hotel,12,115.82916666666667
BIH,Resort Hotel,1,50
BLR,City Hotel,19,103.43157894736842
BLR,Resort Hotel,7,103.01285714285714
BOL,City Hotel,10,115
BRA,City Hotel,1794,111.29696209587514
BRA,Resort Hotel,430,109.7886511627907
BRB,City Hotel,4,95
BWA,Resort Hotel,1,118.5
CAF,City Hotel,2,114.71000000000001
CAF,Resort Hotel,3,56.300000000000004
CHE,City Hotel,1295,118.393722007722
CHE,Resort Hotel,435,132.06036781609194
CHL,City Hotel,48,115.64291666666666
CHL,Resort Hotel,17,128.06117647058824
CHN,City Hotel,865,114.176774566474
CHN,Resort Hotel,134,87.05589552238806
CIV,City Hotel,4,150.625
CIV,Resort Hotel,2,58.5
CMR,City Hotel,8,99.05125
CMR,Resort Hotel,2,45.43
CN,City Hotel,569,113.94782073813708
CN,Resort Hotel,710,104.4735352112676
COL,City Hotel,55,125.52945454545454
COL,Resort Hotel,16,106.30875
COM,City Hotel,1,259
COM,Resort Hotel,1,71.61
CPV,City Hotel,19,98.98473684210526
CPV,Resort Hotel,5,64
CRI,City Hotel,17,109.96764705882353
CRI,Resort Hotel,2,36.26
CUB,City Hotel,4,129.2325
CUB,Resort Hotel,4,69.5
CYM,Resort Hotel,1,40.5
CYP,City Hotel,43,94.67302325581396
CYP,Resort Hotel,8,119.875
CZE,City Hotel,144,113.1348611111111
CZE,Resort Hotel,27,101.75333333333333
DEU,City Hotel,6084,108.65591387245233
DEU,Resort Hotel,1203,82.85667497921862
DJI,Resort Hotel,1,273
DMA,City Hotel,1,105.3
DNK,City Hotel,370,120.37254054054054
DNK,Resort Hotel,65,101.70276923076923
DOM,City Hotel,11,136.0218181818182
DOM,Resort Hotel,3,97.76666666666667
DZA,City Hotel,91,109.99593406593407
DZA,Resort Hotel,12,131.79916666666668
ECU,City Hotel,25,135.122
ECU,Resort Hotel,2,53.165
EGY,City Hotel,31,117.49225806451614
EGY,Resort Hotel,1,122.89
ESP,City Hotel,4611,114.42443070917372
ESP,Resort Hotel,3957,119.99142784938084
EST,City Hotel,50,126.3862
EST,Resort Hotel,33,95.40757575757576
ETH,City Hotel,3,101.26
FIN,City Hotel,296,115.27057432432433
FIN,Resort Hotel,151,82.00331125827815
FJI,Resort Hotel,1,135.33
FRA,City Hotel,8804,111.94952407996365
FRA,Resort Hotel,1611,96.87170701427685
FRO,City Hotel,5,155.2
GAB,City Hotel,4,143.375
GBR,City Hotel,5314,115.46496800903275
GBR,Resort Hotel,6813,80.87216791428152
GEO,City Hotel,11,103.27090909090909
GEO,Resort Hotel,11,234.76090909090908
GGY,City Hotel,2,117.9
GGY,Resort Hotel,1,65
GHA,City Hotel,4,126.45
GIB,City Hotel,5,148.814
GIB,Resort Hotel,13,151.0130769230769
GLP,City Hotel,2,140
GNB,City Hotel,9,83.16444444444444
GRC,City Hotel,118,113.56466101694916
GRC,Resort Hotel,10,67.46
GTM,City Hotel,4,75
GUY,City Hotel,1,120
HKG,City Hotel,25,121.018
HKG,Resort Hotel,4,172.6
HND,City Hotel,1,79
HRV,City Hotel,89,111.8991011235955
HRV,Resort Hotel,11,103.94545454545454
HUN,City Hotel,183,110.2192349726776
HUN,Resort Hotel,47,124.70148936170213
IDN,City Hotel,30,109.66499999999999
IDN,Resort Hotel,5,158.39
IMN,City Hotel,2,117.44999999999999
IND,City Hotel,115,113.31373913043478
IND,Resort Hotel,37,114.52324324324324
IRL,City Hotel,1209,115.77449131513647
IRL,Resort Hotel,2166,88.37821791320407
IRN,City Hotel,78,129.18602564102565
IRN,Resort Hotel,5,109.31
IRQ,City Hotel,14,106.95714285714286
ISL,City Hotel,51,107.34529411764706
ISL,Resort Hotel,6,147.45833333333334
ISR,City Hotel,641,110.0275663026521
ISR,Resort Hotel,28,125.99392857142857
ITA,City Hotel,3307,115.01298760205624
ITA,Resort Hotel,459,106.27668845315904
JAM,City Hotel,1,137.4
JAM,Resort Hotel,5,99.462
JEY,City Hotel,5,164.442
JEY,Resort Hotel,3,97.26666666666667
JOR,City Hotel,19,101.29473684210527
JOR,Resort Hotel,2,74.85
JPN,City Hotel,188,122.28382978723404
JPN,Resort Hotel,9,99.44333333333333
KAZ,City Hotel,14,136.37857142857143
KAZ,Resort Hotel,5,163.41
KEN,City Hotel,6,134.19666666666666
KHM,City Hotel,2,99
KIR,City Hotel,1,108
KNA,City Hotel,2,92.2
KOR,City Hotel,124,116.46241935483872
KOR,Resort Hotel,9,68.53777777777778
KWT,City Hotel,13,131.00615384615384
KWT,Resort Hotel,3,132.72666666666666
LAO,City Hotel,2,181.66500000000002
LBN,City Hotel,25,123.9964
LBN,Resort Hotel,6,166.83333333333334
LBY,City Hotel,8,92.75
LCA,City Hotel,1,80.75
LIE,City Hotel,3,102.26666666666667
LKA,City Hotel,6,96.83333333333333
LKA,Resort Hotel,1,33.3
LTU,City Hotel,35,101.64428571428572
LTU,Resort Hotel,46,99.2304347826087
LUX,City Hotel,207,123.97091787439614
LUX,Resort Hotel,80,154.1865
LVA,City Hotel,22,112.27636363636364
LVA,Resort Hotel,33,85.15333333333334
MAC,City Hotel,15,99.91866666666667
MAC,Resort Hotel,1,120
MAR,City Hotel,184,116.86625
MAR,Resort Hotel,75,177.40066666666667
MCO,City Hotel,4,85.74
MDG,Resort Hotel,1,44
MDV,City Hotel,6,117.6
MDV,Resort Hotel,6,130.63333333333333
MEX,City Hotel,79,118.22037974683545
MEX,Resort Hotel,6,85.61666666666666
MKD,City Hotel,9,81.18888888888888
MKD,Resort Hotel,1,108.75
MLI,City Hotel,1,89
MLT,City Hotel,16,110.15187499999999
MLT,Resort Hotel,2,43.9
MMR,City Hotel,1,145
MNE,City Hotel,5,110.3
MOZ,City Hotel,61,107.72131147540983
MOZ,Resort Hotel,6,157.58333333333334
MRT,City Hotel,1,97.65
MUS,City Hotel,6,95.92833333333334
MUS,Resort Hotel,1,98
MWI,Resort Hotel,2,83
MYS,City Hotel,18,96.97666666666667
MYS,Resort Hotel,10,59.23
MYT,City Hotel,2,177.75
NAM,City Hotel,1,121.61
NCL,City Hotel,1,175.5
NGA,City Hotel,24,112.98083333333334
NGA,Resort Hotel,10,120.275
NIC,City Hotel,1,139
NLD,City Hotel,1590,115.72853459119497
NLD,Resort Hotel,514,84.44256809338522
NOR,City Hotel,484,124.24064049586777
NOR,Resort Hotel,123,111.37211382113821
NPL,Resort Hotel,1,85
NULL,City Hotel,24,45.208333333333336
NULL,Resort Hotel,464,61.277090517241376
NZL,City Hotel,60,112.90566666666666
NZL,Resort Hotel,14,90.58357142857143
OMN,City Hotel,7,126.89285714285714
OMN,Resort Hotel,11,81.6209090909091
PAK,City Hotel,10,101.778
PAK,Resort Hotel,4,199.9525
PAN,City Hotel,9,110.16111111111111
PER,City Hotel,28,117.76821428571428
PER,Resort Hotel,1,234
PHL,City Hotel,24,135.0375
PHL,Resort Hotel,16,183.333125
PLW,Resort Hotel,1,136.29
POL,City Hotel,586,116.69639931740615
POL,Resort Hotel,333,90.21027027027027
PRI,City Hotel,3,138.66666666666666
PRI,Resort Hotel,9,66.05111111111111
PRT,City Hotel,30958,91.79690774597842
PRT,Resort Hotel,17616,92.23600079473206
PRY,City Hotel,4,112.6
PYF,City Hotel,1,144
QAT,City Hotel,14,154.93357142857144
QAT,Resort Hotel,1,0
ROU,City Hotel,323,107.50291021671826
ROU,Resort Hotel,177,128.7735593220339
RUS,City Hotel,443,113.60532731376975
RUS,Resort Hotel,189,130.64306878306877
RWA,City Hotel,2,83.265
SAU,City Hotel,47,123.9104255319149
SAU,Resort Hotel,1,171
SDN,City Hotel,1,99
SEN,City Hotel,10,109.708
SEN,Resort Hotel,1,289.6
SGP,City Hotel,35,95.40457142857143
SGP,Resort Hotel,4,120.4275
SLE,City Hotel,1,121.43
SLV,City Hotel,2,148.85
SMR,Resort Hotel,1,88.2
SRB,City Hotel,94,100.40585106382979
SRB,Resort Hotel,7,86.32714285714286
STP,City Hotel,2,117
SUR,City Hotel,1,99
SUR,Resort Hotel,4,91.5
SVK,City Hotel,53,107.41415094339622
SVK,Resort Hotel,12,107.1975
SVN,City Hotel,46,112.54869565217392
SVN,Resort Hotel,11,132.62545454545455
SWE,City Hotel,720,117.68344444444445
SWE,Resort Hotel,304,101.56069078947368
SYC,City Hotel,1,89.25
SYC,Resort Hotel,1,175
SYR,City Hotel,2,120.5
SYR,Resort Hotel,1,54
TGO,City Hotel,1,59.5
TGO,Resort Hotel,1,152
THA,City Hotel,53,118.86811320754717
THA,Resort Hotel,6,105.83333333333333
TJK,City Hotel,9,137.23333333333332
TMP,City Hotel,3,139.06666666666666
TUN,City Hotel,38,107.17
TUN,Resort Hotel,1,77.5
TUR,City Hotel,225,109.47506666666666
TUR,Resort Hotel,23,137.99391304347827
TWN,City Hotel,39,117.10743589743589
TWN,Resort Hotel,12,156.5
TZA,City Hotel,5,90.9
UGA,City Hotel,1,126
UGA,Resort Hotel,1,43
UKR,City Hotel,45,113.5971111111111
UKR,Resort Hotel,23,53.40869565217391
UMI,City Hotel,1,200
URY,City Hotel,24,127.04875
URY,Resort Hotel,8,142.5025
USA,City Hotel,1618,119.77338071693448
USA,Resort Hotel,479,133.86517745302714
UZB,City Hotel,3,109.32333333333334
UZB,Resort Hotel,1,60
VEN,City Hotel,23,108.65260869565218
VEN,Resort Hotel,3,91.8
VGB,City Hotel,1,100.5
VNM,City Hotel,6,107.23166666666667
VNM,Resort Hotel,2,171.375
ZAF,City Hotel,62,109.30129032258064
ZAF,Resort Hotel,18,117.50777777777778
ZMB,City Hotel,1,107.1
ZMB,Resort Hotel,1,96.67
ZWE,City Hotel,2,124.65
ZWE,Resort Hotel,2,45.965
